N,Area_Wide,Area_Narrow,Rel_Error_Wide,Rel_Error_Narrow
100,0.777771,0.825,0.176541,0.126538
600,0.761567,0.941667,0.193697,0.00301796
1100,0.928022,0.951136,0.0174641,0.007008
1600,0.899298,0.952344,0.0478759,0.00828631
2100,0.925918,0.95119,0.019692,0.00706529
2600,0.949778,0.953846,0.00556974,0.00987697
3100,0.95026,0.950403,0.00608057,0.0062318
3600,0.95601,0.949653,0.012168,0.00543727
4100,0.969842,0.946646,0.0268128,0.00225423
4600,0.967987,0.94538,0.024848,0.000913958
5100,0.981745,0.948529,0.0394148,0.00424791
5600,0.963533,0.95067,0.020133,0.00651386
6100,0.97062,0.949795,0.0276359,0.00558793
6600,0.969267,0.949811,0.0262042,0.00560437
7100,0.95852,0.95088,0.0148258,0.00673688
7600,0.960701,0.950987,0.017134,0.0068497
8100,0.966212,0.954012,0.0229695,0.0100529
8600,0.975605,0.955087,0.032914,0.0111909
9100,0.980761,0.956593,0.0383723,0.0127856
9600,0.976264,0.956901,0.0336122,0.0131113
10100,0.975101,0.958045,0.0323807,0.014322
10600,0.972214,0.956604,0.0293234,0.0127966
11100,0.973965,0.956532,0.031178,0.0127201
11600,0.978919,0.955388,0.0364221,0.0115093
12100,0.975428,0.953099,0.0327261,0.00908611
12600,0.972985,0.951786,0.0301403,0.0076955
13100,0.975182,0.95124,0.0324663,0.00711821
13600,0.977218,0.951287,0.0346213,0.00716724
14100,0.97704,0.950089,0.0344335,0.00589875
14600,0.96955,0.949914,0.0265033,0.00571424
15100,0.961912,0.947599,0.0184166,0.0032632
15600,0.963489,0.947516,0.0200858,0.003175
16100,0.959533,0.948059,0.0158974,0.00374987
16600,0.959915,0.946837,0.0163018,0.00245645
17100,0.96198,0.947515,0.0184884,0.00317351
17600,0.960061,0.947869,0.0164568,0.00354904
18100,0.961471,0.947652,0.0179496,0.00331889
18600,0.960192,0.948051,0.0165952,0.00374148
19100,0.961015,0.94784,0.0174673,0.00351834
19600,0.957829,0.94713,0.0140936,0.0027664
20100,0.959638,0.947886,0.0160087,0.00356625
20600,0.957111,0.946905,0.0133339,0.00252844
21100,0.955626,0.946682,0.0117614,0.00229247
21600,0.958711,0.946933,0.0150272,0.00255759
22100,0.963415,0.947738,0.0200082,0.00340954
22600,0.973504,0.948064,0.0306897,0.00375533
23100,0.968847,0.94724,0.0257586,0.00288303
23600,0.970566,0.947511,0.0275787,0.00316925
24100,0.972214,0.947614,0.0293234,0.00327884
24600,0.973399,0.948018,0.0305786,0.00370677
25100,0.972214,0.948058,0.0293234,0.00374856
25600,0.971454,0.948486,0.0285192,0.0042023
26100,0.971096,0.94818,0.0281402,0.00387806
26600,0.972214,0.948496,0.0293234,0.00421279
27100,0.968985,0.948478,0.0259049,0.00419333
27600,0.9701,0.948234,0.0270857,0.00393482
28100,0.968062,0.948977,0.0249277,0.00472165
28600,0.965075,0.948864,0.0217654,0.00460177
29100,0.964529,0.948411,0.0211878,0.00412218
29600,0.964331,0.948522,0.0209775,0.00424002
30100,0.966723,0.949377,0.0235099,0.00514537
30600,0.964271,0.94902,0.0209138,0.0047669
31100,0.961272,0.948392,0.0177393,0.00410273
31600,0.962676,0.947943,0.0192256,0.00362709
32100,0.962825,0.947313,0.0193828,0.00296013
32600,0.963565,0.946626,0.0201668,0.00223244
33100,0.96722,0.946715,0.0240368,0.00232639
33600,0.968452,0.947061,0.0253409,0.00269326
34100,0.967652,0.946884,0.0244937,0.00250602
34600,0.967437,0.946857,0.024266,0.00247719
35100,0.964458,0.946652,0.0211122,0.00226066
35600,0.961563,0.946805,0.0180471,0.00242197
36100,0.96198,0.947784,0.0184884,0.00345864
36600,0.959995,0.947029,0.0163865,0.00265903
37100,0.961469,0.946664,0.0179481,0.00227337
37600,0.95851,0.946642,0.0148143,0.00224993
38100,0.958179,0.946883,0.0144644,0.002505
38600,0.957101,0.947247,0.0133235,0.0028906
39100,0.959284,0.947315,0.0156341,0.00296172
39600,0.960184,0.947285,0.0165868,0.00293078
40100,0.961061,0.947724,0.0175157,0.00339565
40600,0.961917,0.947722,0.0184217,0.00339273
41100,0.961569,0.947962,0.0180534,0.00364747
41600,0.960762,0.947626,0.0171991,0.00329165
42100,0.960667,0.947743,0.0170986,0.0034158
42600,0.962172,0.947858,0.0186918,0.00353704
43100,0.961612,0.947593,0.0180987,0.00325629
43600,0.959503,0.947477,0.0158666,0.00313375
44100,0.958766,0.947392,0.0150855,0.00304399
44600,0.959352,0.947141,0.0157067,0.00277821
45100,0.957771,0.946286,0.0140319,0.00187275
45600,0.957076,0.94619,0.0132966,0.00177075
46100,0.959138,0.946285,0.01548,0.00187192
46600,0.957192,0.946111,0.0134196,0.00168692
47100,0.957352,0.946099,0.0135885,0.00167444
47600,0.95955,0.945877,0.0159162,0.0014398
48100,0.961703,0.946076,0.0181955,0.00165026
48600,0.960011,0.946065,0.0164039,0.00163854
49100,0.962313,0.946105,0.0188414,0.00168097
49600,0.962217,0.946069,0.0187396,0.00164249
50100,0.961541,0.946008,0.0180234,0.00157837
50600,0.960493,0.946146,0.0169145,0.00172475
51100,0.961369,0.946159,0.0178417,0.00173878
51600,0.962228,0.946342,0.0187508,0.00193206
52100,0.961204,0.946425,0.0176669,0.00202004
52600,0.960384,0.946816,0.0167993,0.00243342
53100,0.96013,0.946751,0.0165295,0.00236547
53600,0.959698,0.946828,0.0160727,0.00244694
54100,0.960173,0.946881,0.0165757,0.00250243
54600,0.958503,0.946543,0.0148073,0.00214486
55100,0.958627,0.946257,0.014939,0.00184181
55600,0.957176,0.946201,0.0134022,0.00178224
56100,0.956617,0.945856,0.0128101,0.00141705
56600,0.954006,0.945671,0.0100463,0.00122199
57100,0.955357,0.945753,0.0114769,0.00130848
57600,0.953647,0.945595,0.00966613,0.00114072
58100,0.953639,0.945633,0.00965814,0.00118086
58600,0.952803,0.945712,0.00877202,0.00126548
59100,0.952967,0.945685,0.00894588,0.00123671
59600,0.952313,0.945575,0.00825331,0.0011196
60100,0.952802,0.945923,0.00877114,0.00148888
